[训练] Epoch 1, Step 126, Loss: 1.7023
[训练] Epoch 1, Step 127, Loss: 1.6381
[训练] Epoch 1, Step 128, Loss: 1.5913
[训练] Epoch 1, Step 129, Loss: 1.5312
[训练] Epoch 1, Step 130, Loss: 1.4186
[训练] Epoch 1, Step 131, Loss: 1.7814
[训练] Epoch 1, Step 132, Loss: 1.8830
[训练] Epoch 1, Step 133, Loss: 1.4691
[训练] Epoch 1, Step 134, Loss: 1.6650
[训练] Epoch 1, Step 135, Loss: 1.5843
[训练] Epoch 1, Step 136, Loss: 1.7046
[训练] Epoch 1, Step 137, Loss: 2.1816
[训练] Epoch 1, Step 138, Loss: 1.8128
[训练] Epoch 1, Step 139, Loss: 1.6794
[训练] Epoch 1, Step 140, Loss: 1.6265
[训练] Epoch 1, Step 141, Loss: 1.7616
[训练] Epoch 1, Step 142, Loss: 1.5542
[训练] Epoch 1, Step 143, Loss: 1.7144
[训练] Epoch 1, Step 144, Loss: 2.0020
[训练] Epoch 1, Step 145, Loss: 2.2153
[训练] Epoch 1, Step 146, Loss: 1.9600
[训练] Epoch 1, Step 147, Loss: 1.7182
[训练] Epoch 1, Step 148, Loss: 1.8704
[训练] Epoch 1, Step 149, Loss: 1.6461
[训练] Epoch 1, Step 150, Loss: 1.5833
[训练] Epoch 1, Step 151, Loss: 1.7651
[训练] Epoch 1, Step 152, Loss: 1.9997
[训练] Epoch 1, Step 153, Loss: 1.7851
[训练] Epoch 1, Step 154, Loss: 1.6399
[训练] Epoch 1, Step 155, Loss: 1.8408
[训练] Epoch 1, Step 156, Loss: 1.6550
[训练] Epoch 1, Step 157, Loss: 1.8684
[训练] Epoch 1, Step 158, Loss: 1.3874
[训练] Epoch 1, Step 159, Loss: 1.6322
[训练] Epoch 1, Step 160, Loss: 1.7582
[训练] Epoch 1, Step 161, Loss: 1.8876
[训练] Epoch 1, Step 162, Loss: 1.6957
[训练] Epoch 1, Step 163, Loss: 1.7565
[训练] Epoch 1, Step 164, Loss: 2.0268
[训练] Epoch 1, Step 165, Loss: 1.9418
[训练] Epoch 1, Step 166, Loss: 1.8154
[训练] Epoch 1, Step 167, Loss: 1.9658
[训练] Epoch 1, Step 168, Loss: 1.7559
[训练] Epoch 1, Step 169, Loss: 1.9065
[训练] Epoch 1, Step 170, Loss: 1.6702
[训练] Epoch 1, Step 171, Loss: 1.7075
[训练] Epoch 1, Step 172, Loss: 1.5147
[训练] Epoch 1, Step 173, Loss: 1.8926
[训练] Epoch 1, Step 174, Loss: 1.8474
[训练] Epoch 1, Step 175, Loss: 1.8323
[训练] Epoch 1, Step 176, Loss: 1.5966
[训练] Epoch 1, Step 177, Loss: 1.7462
[训练] Epoch 1, Step 178, Loss: 1.6148
[训练] Epoch 1, Step 179, Loss: 1.5146
[训练] Epoch 1, Step 180, Loss: 1.7912
[训练] Epoch 1, Step 181, Loss: 1.6953
[训练] Epoch 1, Step 182, Loss: 1.7763
[训练] Epoch 1, Step 183, Loss: 1.7910
[训练] Epoch 1, Step 184, Loss: 1.7582
[训练] Epoch 1, Step 185, Loss: 1.9751
[训练] Epoch 1, Step 186, Loss: 1.7797
[训练] Epoch 1, Step 187, Loss: 1.9182
[训练] Epoch 1, Step 188, Loss: 1.8976
[训练] Epoch 1, Step 189, Loss: 1.7598
[训练] Epoch 1, Step 190, Loss: 1.3416
[训练] Epoch 1, Step 191, Loss: 1.8149
[训练] Epoch 1, Step 192, Loss: 1.3972
[训练] Epoch 1, Step 193, Loss: 1.9723
[训练] Epoch 1, Step 194, Loss: 1.8500
[训练] Epoch 1, Step 195, Loss: 1.7824
[训练] Epoch 1, Step 196, Loss: 1.7547
[训练] Epoch 1, Step 197, Loss: 1.8058
[训练] Epoch 1, Step 198, Loss: 1.7384
[训练] Epoch 1, Step 199, Loss: 1.5623
[训练] Epoch 1, Step 200, Loss: 1.6919
[训练] Epoch 1, Step 201, Loss: 1.7914
[训练] Epoch 1, Step 202, Loss: 1.8389
[训练] Epoch 1, Step 203, Loss: 1.7515
[训练] Epoch 1, Step 204, Loss: 1.7978
[训练] Epoch 1, Step 205, Loss: 1.8896
[训练] Epoch 1, Step 206, Loss: 1.8625
[训练] Epoch 1, Step 207, Loss: 1.6053
[训练] Epoch 1, Step 208, Loss: 1.8276
[训练] Epoch 1, Step 209, Loss: 1.8983
[训练] Epoch 1, Step 210, Loss: 1.6448
[训练] Epoch 1, Step 211, Loss: 1.8128
[训练] Epoch 1, Step 212, Loss: 1.5959
[训练] Epoch 1, Step 213, Loss: 1.9446
[训练] Epoch 1, Step 214, Loss: 1.9707
[训练] Epoch 1, Step 215, Loss: 1.6392
[训练] Epoch 1, Step 216, Loss: 1.9192
[训练] Epoch 1, Step 217, Loss: 1.6807
[训练] Epoch 1, Step 218, Loss: 1.7332
[训练] Epoch 1, Step 219, Loss: 1.5836
[训练] Epoch 1, Step 220, Loss: 1.8836
[训练] Epoch 1, Step 221, Loss: 1.7153
[训练] Epoch 1, Step 222, Loss: 1.6864
[训练] Epoch 1, Step 223, Loss: 1.7047
[训练] Epoch 1, Step 224, Loss: 1.6971
[训练] Epoch 1, Step 225, Loss: 1.8689
[训练] Epoch 1, Step 226, Loss: 1.8916
[训练] Epoch 1, Step 227, Loss: 1.4933
[训练] Epoch 1, Step 228, Loss: 1.6110
[训练] Epoch 1, Step 229, Loss: 1.7580
[训练] Epoch 1, Step 230, Loss: 1.6148
[训练] Epoch 1, Step 231, Loss: 1.4733
[训练] Epoch 1, Step 232, Loss: 1.6804
[训练] Epoch 1, Step 233, Loss: 2.0308
[训练] Epoch 1, Step 234, Loss: 1.6663
[训练] Epoch 1, Step 235, Loss: 1.9129
[训练] Epoch 1, Step 236, Loss: 1.7853
[训练] Epoch 1, Step 237, Loss: 1.7810
[训练] Epoch 1, Step 238, Loss: 1.7468
[训练] Epoch 1, Step 239, Loss: 1.9271
[训练] Epoch 1, Step 240, Loss: 1.7919
[训练] Epoch 1, Step 241, Loss: 1.8952
[训练] Epoch 1, Step 242, Loss: 2.2311
[训练] Epoch 1, Step 243, Loss: 1.8603
[训练] Epoch 1, Step 244, Loss: 1.6145
[训练] Epoch 1, Step 245, Loss: 1.9977
[训练] Epoch 1, Step 246, Loss: 1.7780
[训练] Epoch 1, Step 247, Loss: 1.7335
[训练] Epoch 1, Step 248, Loss: 1.7191
[训练] Epoch 1, Step 249, Loss: 1.4096
[训练] Epoch 1, Step 250, Loss: 2.0503
[训练] Epoch 1, Step 251, Loss: 1.7319
[训练] Epoch 1, Step 252, Loss: 1.5502
[训练] Epoch 1, Step 253, Loss: 1.9418
[训练] Epoch 1, Step 254, Loss: 1.9453
[训练] Epoch 1, Step 255, Loss: 1.6908
[训练] Epoch 1, Step 256, Loss: 1.7897
[训练] Epoch 1, Step 257, Loss: 1.6302
[训练] Epoch 1, Step 258, Loss: 1.7429
[训练] Epoch 1, Step 259, Loss: 1.6915
[训练] Epoch 1, Step 260, Loss: 1.7120
[训练] Epoch 1, Step 261, Loss: 1.6541
[训练] Epoch 1, Step 262, Loss: 1.9273
[训练] Epoch 1, Step 263, Loss: 1.5722
[训练] Epoch 1, Step 264, Loss: 1.4930
[训练] Epoch 1, Step 265, Loss: 1.6844
[训练] Epoch 1, Step 266, Loss: 1.6279
[训练] Epoch 1, Step 267, Loss: 1.7198
[训练] Epoch 1, Step 268, Loss: 1.7679
[训练] Epoch 1, Step 269, Loss: 1.5327
[训练] Epoch 1, Step 270, Loss: 1.8027
[训练] Epoch 1, Step 271, Loss: 1.6982
[训练] Epoch 1, Step 272, Loss: 1.8284
[训练] Epoch 1, Step 273, Loss: 1.6481
[训练] Epoch 1, Step 274, Loss: 1.5798
[训练] Epoch 1, Step 275, Loss: 1.6257
[训练] Epoch 1, Step 276, Loss: 1.7738
[训练] Epoch 1, Step 277, Loss: 1.6926
[训练] Epoch 1, Step 278, Loss: 1.9189
[训练] Epoch 1, Step 279, Loss: 1.7684
[训练] Epoch 1, Step 280, Loss: 1.7243
[训练] Epoch 1, Step 281, Loss: 1.7712
[训练] Epoch 1, Step 282, Loss: 1.7225
[训练] Epoch 1, Step 283, Loss: 1.5946
[训练] Epoch 1, Step 284, Loss: 1.8228
[训练] Epoch 1, Step 285, Loss: 1.8486
[训练] Epoch 1, Step 286, Loss: 1.8399
[训练] Epoch 1, Step 287, Loss: 1.7683
[训练] Epoch 1, Step 288, Loss: 1.5040
[训练] Epoch 1, Step 289, Loss: 1.8274
[训练] Epoch 1, Step 290, Loss: 1.8966
[训练] Epoch 1, Step 291, Loss: 1.4151
[训练] Epoch 1, Step 292, Loss: 1.8446
[训练] Epoch 1, Step 293, Loss: 1.6556
[训练] Epoch 1, Step 294, Loss: 1.8455
[训练] Epoch 1, Step 295, Loss: 1.5955
[训练] Epoch 1, Step 296, Loss: 2.1597
[训练] Epoch 1, Step 297, Loss: 1.5620
[训练] Epoch 1, Step 298, Loss: 1.8963
[训练] Epoch 1, Step 299, Loss: 1.6499
[训练] Epoch 1, Step 300, Loss: 1.6894
[训练] Epoch 1, Step 301, Loss: 1.5633
[训练] Epoch 1, Step 302, Loss: 2.0808
[训练] Epoch 1, Step 303, Loss: 1.8032
[训练] Epoch 1, Step 304, Loss: 1.9356
[训练] Epoch 1, Step 305, Loss: 1.6329
[训练] Epoch 1, Step 306, Loss: 1.5688
[训练] Epoch 1, Step 307, Loss: 1.9037
[训练] Epoch 1, Step 308, Loss: 1.4576
[训练] Epoch 1, Step 309, Loss: 1.5573
[训练] Epoch 1, Step 310, Loss: 1.9472
[训练] Epoch 1, Step 311, Loss: 1.6772
[训练] Epoch 1, Step 312, Loss: 1.5282
[训练] Epoch 1, Step 313, Loss: 2.2364
[训练] Epoch 1, Step 314, Loss: 1.9078
[训练] Epoch 1, Step 315, Loss: 1.7360
[训练] Epoch 1, Step 316, Loss: 1.8399
[训练] Epoch 1, Step 317, Loss: 1.7252
[训练] Epoch 1, Step 318, Loss: 1.9603
[训练] Epoch 1, Step 319, Loss: 1.4824
[训练] Epoch 1, Step 320, Loss: 2.0545
[训练] Epoch 1, Step 321, Loss: 1.6709
[训练] Epoch 1, Step 322, Loss: 1.7844
[训练] Epoch 1, Step 323, Loss: 1.5845
[训练] Epoch 1, Step 324, Loss: 1.8065
[训练] Epoch 1, Step 325, Loss: 1.5113
[训练] Epoch 1, Step 326, Loss: 1.8517
[训练] Epoch 1, Step 327, Loss: 1.7601
[训练] Epoch 1, Step 328, Loss: 1.9958
[训练] Epoch 1, Step 329, Loss: 1.7089
[训练] Epoch 1, Step 330, Loss: 1.8917
[训练] Epoch 1, Step 331, Loss: 1.6411
[训练] Epoch 1, Step 332, Loss: 1.8783
[训练] Epoch 1, Step 333, Loss: 1.7392
[训练] Epoch 1, Step 334, Loss: 1.7943
[训练] Epoch 1, Step 335, Loss: 1.7962
[训练] Epoch 1, Step 336, Loss: 1.6007
[训练] Epoch 1, Step 337, Loss: 1.6497
[训练] Epoch 1, Step 338, Loss: 1.6083
[训练] Epoch 1, Step 339, Loss: 1.6139
[训练] Epoch 1, Step 340, Loss: 1.5055
[训练] Epoch 1, Step 341, Loss: 1.7222
[训练] Epoch 1, Step 342, Loss: 1.8796
[训练] Epoch 1, Step 343, Loss: 1.4858
[训练] Epoch 1, Step 344, Loss: 1.8194
[训练] Epoch 1, Step 345, Loss: 1.5006
[训练] Epoch 1, Step 346, Loss: 1.7390
[训练] Epoch 1, Step 347, Loss: 1.7210
[训练] Epoch 1, Step 348, Loss: 1.9488
[训练] Epoch 1, Step 349, Loss: 1.6211
